baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Dda3937_00786	17556.0629016509	10.0932107418951	0.356451377931105	28.3158135072376	2.20752934048622e-176	8.76609901107078e-173
Dda3937_01474	10059.3589038053	5.70096184348996	0.236168341531512	24.13939906814	9.64884114629186e-129	1.91577740959625e-125
Dda3937_00787	39540.1468134821	9.74270741565283	0.416328252318101	23.4015043692225	4.12548435221315e-121	5.46076612087947e-118
Dda3937_01473	4999.9948979323	4.91291634493206	0.276185973049439	17.7884354179443	8.687182865618e-71	8.62420078984227e-68
Dda3937_03447	6190.97886797701	5.79281600561047	0.344148029503139	16.8323381481329	1.41405992240572e-63	1.12304639037462e-60
Dda3937_03281	1956.7080991322	5.51276047443752	0.521154442803768	10.577978467917	3.77004459170352e-26	2.49514117894244e-23
Dda3937_01470	17133.973241101	2.97174807654429	0.298772651193378	9.94651975230774	2.61156897634578e-23	1.48150577215273e-20
Dda3937_04001	1827.18707646326	2.59331703480828	0.304962422344722	8.5037265079068	1.83599784994041e-17	9.11343432764172e-15
Dda3937_02884	91411.888297348	4.84373944698733	0.614435486053636	7.88323519218828	3.1901180651579e-15	1.40755098186022e-12
Dda3937_04156	1095.25494796893	1.51496714309769	0.219120734217018	6.91384659927828	4.71685233169683e-12	1.87306206091681e-09
Dda3937_03222	2126.68204063092	4.2257755664147	0.635518475324494	6.64933551185435	2.94419171525027e-11	1.06285320920535e-08
Dda3937_04612	1759.49794023349	-1.48867933907031	0.224911760774084	-6.61894839979328	3.61763091210784e-11	1.19713436266502e-08
Dda3937_04121	5231.817575249	3.39678154608574	0.514966107150765	6.59612642253226	4.22039080466474e-11	1.22798077586559e-08
Dda3937_03299	12536.2815205268	1.87656762153061	0.284658572660222	6.59234536305548	4.32932028761478e-11	1.22798077586559e-08
Dda3937_01076	4808.81462363306	1.6323001442068	0.260548362153321	6.26486434501655	3.73150107810846e-10	9.87852718744579e-08
Dda3937_00692	14549.3352351922	2.17776861716778	0.355444273609102	6.12689183329696	8.96123476232013e-10	2.15873199983365e-07
